Термин,Определение
Таблица ,"структура данных, хранящая набор однотипных записей."
SQL-сервер ,"собирательный термин, относящийся ко всем серверам баз данных, основанных на SQL"
Блокировка,"запрещение некоторых операций над данными (чаще - корректировки информации), если их обрабатывает (корректирует) другой пользователь"
Репозиторий,централизованная база данных проекта (см. Словарь данных)
Реорганизация, изменение физического расположения данных на носителе
Публикация,"совокупность данных, которые могут подвергаться тиражированию"
Группа пользователей," пользователи, наделенные одинаковым набором привилегий"
ER-модель,"модель предметной области, отражающая объекты и связи между ними (синонимы: модель «сущность-связь», модель «объект-свойство-связь», концептуальная модель)"
SELECT,Оператор для выборки данных из таблицы.
INSERT,Оператор для добавления новых записей в таблицу.
UPDATE,Оператор для изменения данных в таблице.
DELETE,Оператор для удаления данных из таблицы.
CREATE,"Оператор для создания новых объектов (таблиц, баз данных и т.д.)."
ALTER,Оператор для изменения структуры существующих объектов.
DROP,"Оператор для удаления объектов (таблиц, баз данных и т.д.)."
TRUNCATE,Оператор для удаления всех данных из таблицы (но сохраняет структуру).
JOIN,Оператор для объединения таблиц по общим столбцам.
INNER JOIN,"Оператор для объединения строк из двух таблиц, если существуют совпадения."
LEFT JOIN,Оператор для объединения всех строк из левой таблицы с совпадениями из правой.
RIGHT JOIN,Оператор для объединения всех строк из правой таблицы с совпадениями из левой.
FULL JOIN,Оператор для объединения всех строк из обеих таблиц.
WHERE,Оператор для фильтрации строк по условию.
GROUP BY,Оператор для группировки строк по столбцам.
HAVING,Оператор для фильтрации данных после группировки.
ORDER BY,Оператор для сортировки данных.
DISTINCT,Оператор для удаления дубликатов в выборке.
LIMIT,Оператор для ограничения количества строк в результате выборки.
OFFSET,Оператор для пропуска определённого количества строк в выборке.
IN,"Оператор для проверки, содержится ли значение в наборе значений."
BETWEEN,"Оператор для проверки, лежит ли значение в диапазоне."
LIKE,Оператор для поиска с шаблоном.
IS NULL,"Оператор для проверки, является ли значение NULL."
AND,Логический оператор для соединения условий.
OR,Логический оператор для соединения условий с альтернативой.
NOT,Логический оператор для инвертирования условия.
UNION,Оператор для объединения результатов двух запросов.
EXCEPT,Оператор для нахождения разницы между результатами двух запросов.
INTERSECT,Оператор для нахождения общих элементов между результатами двух запросов.
CASE,Оператор для выполнения условных выражений в запросах.
CAST,Оператор для преобразования данных одного типа в другой.
CONVERT,Оператор для преобразования данных в другой тип.
COALESCE,Функция для возвращения первого ненулевого значения из списка.
NULLIF,"Функция для возврата NULL, если два значения равны."
EXPLAIN,Оператор для получения плана выполнения запроса.
LOCK,Оператор для блокировки таблицы или строк.
SAVEPOINT,Оператор для создания точки сохранения в транзакции.
COMMIT,Оператор для фиксации транзакции.
ROLLBACK,Оператор для отката транзакции.
GRANT,Оператор для предоставления прав доступа пользователю.
REVOKE,Оператор для отзыва прав доступа у пользователя.
SET,Оператор для изменения настроек сеанса или переменных.
SHOW,Оператор для отображения информации о базе данных.
DESCRIBE,Оператор для отображения структуры таблицы.
USE,Оператор для выбора базы данных для текущей сессии.
TRIGGER,"Оператор для создания триггера, выполняющегося автоматически при изменении данных."
VIEW,Оператор для создания виртуальной таблицы (представления).
INDEX,Оператор для создания индекса на таблице для ускорения поиска.
ALTER INDEX,Оператор для изменения или удаления индекса.
Индекс (Index),"Структура данных, используемая для ускорения поиска и извлечения данных в базе данных."
B-дерево (B-tree),"Один из самых популярных типов индексов, используемый в реляционных базах данных для организации поиска данных."
B+ дерево (B+ tree),"Модификация B-дерева, где все данные находятся только в листьях, а внутренние узлы содержат только ключи."
Хеш-индекс (Hash Index),"Индекс, использующий хеш-функцию для быстрого поиска значений в базе данных."
Уникальный индекс (Unique Index),"Индекс, который гарантирует, что все значения в индексируемом столбце уникальны."
Композитный индекс (Composite Index),"Индекс, состоящий из нескольких столбцов, что позволяет ускорить запросы с несколькими критериями поиска."
Полнотекстовый индекс (Full-text Index),"Индекс, используемый для ускоренного поиска по текстовым данным, например, для поиска подстрок в длинных текстах."
Кластеризованный индекс (Clustered Index),"Индекс, при котором данные в таблице сортируются и хранятся в порядке, заданном индексом."
Некластеризованный индекс (Non-clustered Index),"Индекс, который содержит указатели на строки данных, но не изменяет физический порядок данных в таблице."
Инвертированный индекс (Inverted Index),"Индекс, используемый в поисковых системах для быстрого поиска по ключевым словам в больших текстовых данных."
Индекс на основе деревьев (Tree-based Index),"Индекс, использующий структуру дерева (например, B-дерево) для организации быстрого поиска."
Индекс с префиксами (Prefix Index),"Индекс, создающийся по начальной части значения, например, первых нескольких символов в строке."
Индекс с фильтром (Filtered Index),"Индекс, который создается только для подмножества данных, удовлетворяющих определенному условию."
Косвенный индекс (Secondary Index),"Индекс, который создается для столбцов, не являющихся частью первичного ключа таблицы."
Индекс с уникальными значениями (Unique Index),"Индекс, который предотвращает дублирование значений в столбце, что используется для обеспечения уникальности данных."
Индекс с обратной связью (Reverse Index),"Индекс, где порядок значений инвертируется для ускорения поиска."
Многоверсионный индекс (Multiversion Index),"Индекс, поддерживающий различные версии данных, что полезно в многопользовательских системах."
Индекс с выборками (Sampled Index),"Индекс, который используется для частичного индексирования данных на основе выборки."
Индекс с отсечением (Truncated Index),"Индекс, в котором хранятся только части данных, например, только первые 10 символов в строке."
Индекс с распределением (Distributed Index),"Индекс, который распределяется между несколькими серверами или базами данных для увеличения производительности."
Бинарный индекс (Binary Index),"Индекс, который использует бинарный поиск для организации данных и ускорения поиска."
Индекс с множественными значениями (Multivalue Index),"Индекс, поддерживающий хранение и поиск по множественным значениям в одном столбце (например, для массивов или списков)."
Индекс на строковых данных (String Index),"Индекс, специально предназначенный для быстрого поиска по строковым данным в базе данных."
Индекс на числовых данных (Numeric Index),"Индекс, предназначенный для быстрого поиска по числовым данным, например, целым числам или вещественным числам."
Индекс для географических данных (Spatial Index),"Индекс, используемый для ускорения поиска географических или пространственных данных."
Индекс для временных данных (Temporal Index),"Индекс, оптимизированный для работы с временными метками или датами."
Индекс с асимптотической сложностью (Asymptotic Index),"Индекс, эффективность которого определяется сложностью алгоритмов поиска и сортировки."
Инкрементальный индекс (Incremental Index),"Индекс, который автоматически обновляется по мере добавления новых данных в таблицу."
Индекс с динамическим сжатием (Dynamic Compression Index),"Индекс, который использует алгоритмы сжатия данных для экономии пространства и увеличения производительности."
Индекс для партиционированных таблиц (Partitioned Table Index),"Индекс, предназначенный для работы с таблицами, разделенными на несколько частей (партиций)."
Индекс с кластеризацией по времени (Time-based Clustered Index),"Индекс, который используется для кластеризации данных по времени, что улучшает поиск по временным диапазонам."
Индекс для аналитических запросов (Analytical Query Index),"Индекс, оптимизированный для сложных аналитических запросов, например, с агрегатами или подзапросами."
Индекс для систем с высокой нагрузкой (High-load Index),"Индекс, специально оптимизированный для работы с большими объемами данных и высокой нагрузкой на базу данных."
Реализованный индекс (Materialized Index),"Индекс, в котором результаты запросов заранее вычисляются и сохраняются для повышения производительности."
Индекс для объединенных таблиц (Join Index),"Индекс, оптимизирующий запросы, использующие соединения (JOIN) между таблицами."
Индекс для периодических данных (Periodic Data Index),"Индекс, используемый для быстрого поиска по данным, которые периодически обновляются или имеют регулярную структуру."
Индекс с динамическим распределением (Dynamic Range Index),"Индекс, который позволяет эффективно управлять диапазонами данных, как для числовых, так и для строковых значений."
Мультиуровневый индекс (Multilevel Index),"Индекс, который использует несколько уровней иерархии для ускоренного поиска."
Индекс по нескольким столбцам (Multicolumn Index),"Индекс, который включает в себя несколько столбцов, что улучшает производительность запросов, использующих несколько условий."
Индекс с обратной индексацией (Reverse Indexing),"Индекс, в котором данные индексируются в обратном порядке, что помогает ускорить определенные типы запросов."
Индекс с задержкой (Lazy Indexing),"Индекс, который создается или обновляется только по мере необходимости, а не сразу при добавлении данных."
Индекс для высокоскоростных запросов (High-speed Query Index),"Индекс, который оптимизирован для максимально быстрого выполнения запросов в реальном времени."
Индекс с синхронизацией (Synchronized Index),"Индекс, который синхронизируется с изменениями в таблице данных для обеспечения актуальности информации."
Многомерный индекс (Multidimensional Index),"Индекс, используемый для данных с несколькими атрибутами или измерениями, например, для географических или научных данных."
Индекс для большого объема данных (Big Data Index),"Индекс, предназначенный для работы с большими объемами данных, эффективно обрабатывающий запросы в таких системах."
Индекс с пакетной обработкой (Batch Processing Index),"Индекс, оптимизированный для обработки больших пакетов данных в пакетном режиме."
Индекс для распределенных систем (Distributed Index),"Индекс, который используется в распределенных базах данных и хранилищах данных для ускорения поиска."
Алгоритм индексирования (Indexing Algorithm),"Способ организации и построения индекса, который определяет его структуру и эффективность."
Индекс с блокировками (Locking Index),"Индекс, который использует механизмы блокировки для управления параллельными запросами и обеспечения целостности данных."
Индекс с хранением истории (Historical Index),"Индекс, который сохраняет историю изменений данных, позволяя эффективно искать данные на разных этапах времени."
База данных (БД),"Совместная, интегрированная компьютерная структура, которая хранит коллекцию данных, включая необработанные факты интересующие конечного пользователя (данные пользователя) и метаданные (данные о данных)."
Система управления базами данных (СУБД),"Коллекция программ, управляющих структурой базы данных и контролирующих доступ к данным, хранящимся в базе данных."
Однопользовательская база данных,"База данных, поддерживающая работу только одного пользователя в данный момент времени."
Персональная база данных,"Однопользовательская база данных, работающая на персональном компьютере."
Многопользовательская база данных,"База данных, поддерживающая работу нескольких пользователей одновременно."
База данных рабочего подразделения,"Многопользовательская база данных, поддерживающая небольшое количество пользователей или конкретное подразделение организации."
Централизованная база данных,"База данных, поддерживающая данные, расположенные на одном сайте."
Распределенная база данных,"База данных, поддерживающая данные, распределенные на нескольких различных сайтах."
Облачная база данных,"База данных, созданная и поддерживаемая с использованием облачных сервисов данных, таких как Microsoft Azure или Amazon AWS, где инфраструктура для хранения данных не является заботой владельца данных."
База данных общего назначения,"База данных, содержащая различные данные, используемые в нескольких областях (например, данные переписи населения, базы данных LexisNexis и ProQuest)."
База данных специализированного назначения,"База данных, содержащая данные, ориентированные на конкретные предметные области, используемые в основном для научных или исследовательских целей."
Нормализация,Процесс оценки и исправления структуры таблиц базы данных с целью минимизации избыточности данных и снижения вероятности возникновения аномалий в данных.
"Моделирование ""сущность-связь"" (ER-моделирование)",Метод проектирования структуры базы данных путем определения сущностей и связей между ними.
Нормальная форма (НФ),"Этапы процесса нормализации, включая 1NF (первая нормальная форма), 2NF (вторая нормальная форма) и 3NF (третья нормальная форма)."
Денормализация,"Процесс уменьшения уровня нормализации в проектировании базы данных с целью улучшения производительности, но за счет увеличения избыточности данных."
Первичный ключ,"Уникальный идентификатор для каждой записи в таблице, который гарантирует уникальность данных."
Внешний ключ,"Поле в одной таблице, которое связано с первичным ключом другой таблицы, создавая связь между ними."
Один к одному,"Тип связи, когда одна запись в одной таблице соответствует только одной записи в другой таблице."
Один ко многим,"Тип связи, когда одна запись в одной таблице может соответствовать нескольким записям в другой таблице."
Многие ко многим,"Тип связи, когда несколько записей в одной таблице могут быть связаны с несколькими записями в другой таблице, что обычно реализуется через таблицу-соединитель."
Таблица-соединитель,"Таблица, используемая для преобразования связи многие ко многим в несколько связей один ко многим."
Типы данных,"Специфичные форматы для хранения различных типов данных в базе данных, такие как числовые значения, текст и даты."
serial,"Числовой тип данных представляет собой автоматически увеличиваемое числовое значение, занимающее 4 байта и способное хранить числа от 1 до 2147483647. Значение этого типа формируется путём автоинкремента значения предыдущей строки. Обычно используется для определения идентификаторов строк."
smallserial,"Числовой тип данных Числовой тип данных представляет собой автоматически увеличиваемое числовое значение, занимающее 2 байта и способное хранить числа от 1 до 32767. Аналогично типу serial, но для малых чисел."
bigserial,"Числовой тип данных представляет собой автоматически увеличиваемое числовое значение, занимающее 8 байтов и способное хранить числа от 1 до 9223372036854775807. Аналогично типу serial, но для больших чисел."
smallint,Числовой тип данных хранит числа от -32768 до +32767. Занимает 2 байта. Имеет псевдоним int2.
integer,Числовой тип данных хранит числа от -2147483648 до +2147483647. Занимает 4 байта. Имеет псевдонимы int и int4.
numeric,"Числовой тип данных хранит числа с фиксированной точностью, которые могут иметь до 131072 цифр в целой части и до 16383 цифр после десятичной точки. Этот тип может принимать два параметра: precision (точность) и scale (масштаб)."
precision,"максимальное количество цифр, которое может хранить число."
scale,максимальное количество цифр после запятой. Этот параметр должен быть между 0 и значением precision. По умолчанию scale равен 0.
decimal,"Числовой тип данных хранит числа с фиксированной точностью, аналогично типу numeric."
real,Числовой тип данных хранит числа с плавающей точкой в диапазоне от 1E-37 до 1E+37. Занимает 4 байта. Имеет псевдоним float4.
double precision,Числовой тип данных хранит числа с плавающей точкой в диапазоне от 1E-307 до 1E+308. Занимает 8 байтов. Имеет псевдоним float8.
money,Числовой тип данных используется для работы с денежными единицами. Может хранить значения в диапазоне от -92233720368547758.08 до +92233720368547758.07 и занимает 8 байтов.
character(n),"представляет строку фиксированной длины, где параметр n указывает количество символов в строке. Имеет псевдоним char(n)."
character varying(n),"представляет строку переменной длины, где параметр n указывает максимальное количество символов в строке. Имеет псевдоним varchar(n)."
text,представляет текст произвольной длины.
bytea,"хранит бинарные данные. Представляет данные как бинарные строки, которые являются последовательностью октетов (байтов)."
timestamp,хранит дату и время. Занимает 8 байтов. Диапазон дат: от 4713 года до нашей эры до 294276 года нашей эры.
timestamp with time zone,"тот же тип, что и timestamp, но с добавлением информации о часовом поясе."
date,хранит дату в диапазоне от 4713 года до нашей эры до 5874897 года нашей эры. Занимает 4 байта.
time,"хранит время с точностью до 1 микросекунды, без указания часового пояса. Принимает значения от 00:00:00 до 24:00:00. Занимает 8 байтов."
time with time zone,хранит время с точностью до 1 микросекунды и информацией о часовом поясе. Принимает значения от 00:00:00+1459 до 24:00:00-1459. Занимает 12 байтов.
interval,представляет временной интервал. Занимает 16 байтов.
boolean,"может хранить одно из двух значений: true (истина) или false (ложь). Можно использовать следующие эквиваленты: Для true: TRUE, 't', 'true', 'y', 'yes', 'on', '1'. Для false: FALSE, 'f', 'false', 'n', 'no', 'off', '0'."
cidr,"интернет-адрес в формате IPv4 или IPv6 (например, 192.168.0.1). Занимает от 7 до 19 байтов."
inet,"интернет-адрес в формате cidr/y, где cidr — это IPv4 или IPv6 адрес, а /y — количество бит в адресе. Например, 192.168.0.1/24 или 2001:4f8:3:ba:2e0:81ff:fe22:d1f1/128. Занимает от 7 до 19 байтов."
macaddr,хранит MAC-адрес. Занимает 6 байтов.
macaddr8,хранит MAC-адрес в формате EUI-64. Занимает 8 байтов.
point,"представляет точку на плоскости в формате (x,y). Занимает 16 байтов."
line,"представляет прямую бесконечной длины в формате {A,B,C}. Занимает 32 байта."
lseg,"представляет отрезок прямой в формате ((x1,y1),(x2,y2)). Занимает 32 байта."
box,"представляет прямоугольник в формате ((x1,y1),(x2,y2)). Занимает 32 байта."
path,"представляет множество соединенных точек. В формате ((x1,y1),...) путь может быть замкнутым (первая и последняя точка соединены прямой) и фактически является многоугольником. В формате [(x1,y1),...] путь будет открытым. Занимает 16 + 16n байтов."
polygon,"представляет многоугольник в формате ((x1,y1),...). Занимает 40 + 16n байтов."
circle,"представляет окружность в формате <(x,y),r>. Занимает 24 байта."
json,хранит данные в формате JSON в текстовом виде.
jsonb,хранит данные в формате JSON в бинарном виде.
uuid,"хранит уникальный универсальный идентификатор (UUID), например, a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11. Занимает 32 байта."
xml,хранит данные в формате XML.
База данных (БД),"Организованный набор данных, хранящийся в структурированной форме и предназначенный для удобного поиска, хранения и обработки информации."
Система управления базами данных (СУБД),"Программное обеспечение, обеспечивающее создание, управление и взаимодействие с базой данных. Примеры: MySQL, PostgreSQL, Oracle."
Таблица,"Основная структура хранения данных в реляционной базе данных, состоящая из строк (записей) и столбцов (полей)."
Запись (Строка),"Единичная строка в таблице, содержащая конкретные данные, относящиеся к объекту."
Поле (Столбец),"Отдельный элемент данных в таблице, содержащий однотипные значения."
"Первичный ключ (Primary Key, PK)","Уникальный идентификатор записи в таблице, обеспечивающий однозначную идентификацию данных."
"Внешний ключ (Foreign Key, FK)","Поле, ссылающееся на первичный ключ другой таблицы, создающее связь между таблицами."
Индекс,"Структура данных, ускоряющая выполнение запросов за счёт оптимизированного поиска записей."
Нормализация,Процесс организации данных для минимизации избыточности и предотвращения аномалий при изменении данных.
Денормализация,"Обратный процесс нормализации, объединяющий данные для ускорения выполнения запросов."
Схема базы данных,"Описание структуры базы данных, включающее таблицы, связи между ними, ограничения и индексы."
SQL (Structured Query Language),"Язык запросов, предназначенный для управления и манипулирования данными в реляционной базе данных."
Запрос,Инструкция на языке SQL для получения или изменения данных в базе данных.
SELECT,Оператор SQL для выборки данных из базы данных.
INSERT,Оператор SQL для добавления новых записей в таблицу базы данных.
UPDATE,Оператор SQL для изменения существующих записей в таблице.
DELETE,Оператор SQL для удаления записей из таблицы.
JOIN,"Операция SQL, объединяющая строки из двух или более таблиц на основе общего поля."
INNER JOIN,"Оператор SQL, возвращающий только совпадающие записи из объединяемых таблиц."
LEFT JOIN,"Оператор SQL, включающий все записи из левой таблицы и совпадающие записи из правой."
RIGHT JOIN,"Оператор SQL, включающий все записи из правой таблицы и совпадающие записи из левой."
FULL JOIN,"Оператор SQL, возвращающий все записи из обеих таблиц, независимо от совпадений."
Транзакция,"Группа операций в базе данных, выполняемых как единое целое, с возможностью фиксации или отмены."
ACID,"Набор свойств транзакций: атомарность (Atomicity), согласованность (Consistency), изоляция (Isolation) и долговечность (Durability)."
COMMIT,"Оператор SQL, фиксирующий изменения в базе данных и делая их постоянными."
ROLLBACK,"Оператор SQL, отменяющий изменения, сделанные в рамках транзакции."
CASCADE DELETE,Механизм автоматического удаления связанных данных при удалении основной записи.
Представление (VIEW),"Виртуальная таблица, создаваемая на основе SQL-запроса и не хранящая данные самостоятельно."
Хранимая процедура (Stored Procedure),"Программный код, хранимый и выполняемый на сервере базы данных для автоматизации обработки данных."
Ключ,"поле или суперпозиция несколько полей и\или их фрагментов (называемых ключевыми), однозначно определяющая запись таблицы."
Первичный ключ ,"поле однозначно определяющее запись (экземпляр сущности), используется для связи с другими таблицами. Значения этого поля должны быть уникальны в пределах таблицы. Такой ключ может быть только один на таблицу. В реальных БД в качестве первичных используются суррогатные ключи."
Вторичный ключ ,"поле, содержащее значение уникального ключа, который может быть первичным, но не является оным, поскольку первичный ключ только один."
Внешний ключ ,"поле дочерней таблицы, которое содержит значение первичного ключа родительской таблицы (атрибут “Код подразделения” сущности “СОТРУДНИК” является внешним ключом, т. к. он содержит значение первичного ключа в родительской таблице “ПОДРАЗДЕЛЕНИЕ”)."
Родительская таблица (сущность) ,"таблица содержащая первичный ключ используемой в связи (см.), значение которого записывается в поле внешнего ключа дочерней таблицы."
Дочерняя таблица (сущность) ,- таблица в которой присутствует внешний ключ используемой в связи (см.) и содержащий значение первичного ключа родительской таблицы
Связь,"между родительской и дочерней таблицами (сущностями) это сопоставление записей, которое производится по равенству значений внешнего и первичного ключей в обеих таблицах."
"Связь типа “Один-к-одному”, или бинарная связь (1:1). ",Одной записи (экземпляру) родительской таблицы (сущности) соответствует одна запись (экземпляр) дочерней таблицы (сущности).
Связь типа “Один-ко-многим” (1:М),Одной записи родительской таблицы соответствует несколько записей дочерней таблицы. При этом внешний ключ участвующий в связи не уникален.
Связь типа “Многие-ко-многим” (М:М),Одному экземпляру родительской сущности соответствуют несколько экземпляров дочерней сущности и наоборот одному экземпляру дочерней сущности соответствуют несколько экземпляров родительской сущности
Блокировка записей ,"процесс предотвращения доступа к данным изменяемым транзакцией, пока она не будет закончена. Средства блокировки обеспечивают безопасность данных в случае параллельной обработки данных."
Триггер,"хранимая процедура особого типа, которую пользователь не вызывает непосредственно, а исполнение которой обусловлено действием по модификации данных: добавлением INSERT, удалением DELETE строки в заданной таблице, или изменением UPDATE данных в определенном столбце заданной таблицы реляционной базы данных."
Нормализация,"это разбиение таблицы на две или более, обладающие лучшими свойствами при включении, изменении и удалении данных. Окончательная цель нормализации сводится к получению такого проекта базы данных, в котором каждый атрибут появляется лишь в одном месте, т.е. исключена избыточность информации."
Срез ,"подмножество гиперкуба (см.), полученное в результате фиксации одного или нескольких измерений."
Вращение,вращение гиперкуба (см.) при этом местоположение отдельных осей меняются местами.
Агрегация/детализация ,переход к более общему/детальному представлению информации по параметрам агрегируемости (см.).
Распределенная база данных ,"это совокупность логически взаимосвязанных баз данных, распределенных в компьютерной сети. Распределенная база данных может объединять базы данных, поддерживающие любые модели (иерархические, сетевые, реляционные и объектно-ориентированные базы данных) в рамках единой глобальной схемы. Подобная конфигурация должна обеспечивать для всех приложений прозрачный доступ к любым данным независимо от их местоположения и формата."
Администратор СУБД (DBA) ,"лицо или группа лиц, ответствен­ная за развертывание, бесперебойную эксплуатацию и эффективное использование СУБД."
Концептуальная модель БД ,это совокупность сущностей и их взаимосвязей вне зависимости от конкретной СУБД.
